policy,lambda,seed,duration,X,N_final,U0,U1,U2
random,3.3,1001,5000.0,2.9968,1344,0.9948710260106362,0.9960230276978896,0.9980591899262635
random,3.3,1002,5000.0,3.0314,1200,0.9995560717015795,0.9999804914745551,0.9948033796813592
random,3.3,1003,5000.0,2.9794,1665,0.9967883351610286,0.9961332266737172,0.9988241266887611
round_robin,3.3,1001,5000.0,3.0,1328,0.9961060141764688,0.9983952073229737,0.996342799377929
round_robin,3.3,1002,5000.0,3.0292,1211,0.9994229683839673,0.9993802006036836,0.9957527900769333
round_robin,3.3,1003,5000.0,2.985,1635,0.9987139730954515,0.9992757479681917,0.9994108671002648
shortest_queue,3.3,1001,5000.0,2.996,1346,0.9979328677230292,0.9972775566472839,0.9974169094094234
shortest_queue,3.3,1002,5000.0,3.0362,1176,0.9996069329150569,0.999505731679871,0.9990570879574763
shortest_queue,3.3,1003,5000.0,2.9874,1625,0.9993322702173855,0.9994841575187075,0.9995477666032347
