policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
random,0.6,1,1001,5000.0,500.0,1.0,1.0,1.0,0.5877777777777777,1.2506641455814063,0.23872922257016624,0.7348535050702323,0.204314640444166,0.18837383383247036,0.20179224792233816,2904,2646,2646,0.0
random,0.6,2,1002,5000.0,500.0,1.0,1.0,1.0,0.5973333333333334,1.2560960001199182,0.2624167790235803,0.7503080107382978,0.20611233681956148,0.19806416537107052,0.1893812192109138,2976,2688,2688,0.0
random,0.6,3,1003,5000.0,500.0,1.0,1.0,1.0,0.5904444444444444,1.24187965352266,0.2337422650511491,0.7337672800918424,0.19930011548907015,0.18135552782653505,0.2147358107911316,2948,2653,2653,0.0
random,0.6,4,1004,5000.0,500.0,1.0,1.0,1.0,0.5906666666666667,1.2369739235620067,0.2454443425690415,0.7311581227414137,0.19401732262327218,0.19796591310791878,0.19419909533277557,2922,2658,2658,0.0
random,0.6,5,1005,5000.0,500.0,1.0,1.0,1.0,0.6086666666666667,1.2143175550405678,0.24872821621455365,0.7389702009629432,0.2009467038340297,0.18850943937199835,0.19817675642459343,3069,2738,2738,0.0
random,0.6,6,1006,5000.0,500.0,1.0,1.0,1.0,0.6042222222222222,1.2547514879223896,0.24995499315172132,0.7582652287712781,0.1987583352713816,0.19636681558711552,0.21216726204914135,3023,2718,2718,0.0
random,0.6,7,1007,5000.0,500.0,1.0,1.0,1.0,0.6106666666666667,1.2023668604386724,0.219918536879819,0.7342453627745493,0.20477560135208017,0.2088302892856451,0.18634255228221458,3044,2748,2748,0.0
random,0.6,8,1008,5000.0,500.0,1.0,1.0,1.0,0.5928888888888889,1.271722755549417,0.2617683682856983,0.752375452834493,0.19894002770141075,0.20390394424807548,0.19493155608301974,3006,2673,2673,0.0
random,0.6,9,1009,5000.0,500.0,1.0,1.0,1.0,0.5775555555555556,1.2665780511086917,0.2696058646802081,0.7310155205331926,0.18907343776801327,0.20145336137039896,0.1848933113810011,2903,2597,2597,0.0
random,0.6,10,1010,5000.0,500.0,1.0,1.0,1.0,0.5862222222222222,1.2807725283878824,0.2894353575401657,0.7504102608680092,0.1861070696104977,0.19915032225427165,0.19547943051636063,2959,2638,2638,0.0
random,1.2,1,1001,5000.0,500.0,1.0,1.0,1.0,1.1564444444444444,1.604445300376417,0.6040153747237181,1.85538332270476,0.39019608013273716,0.3686616480903419,0.3979370506898305,5768,5202,5202,0.0
random,1.2,2,1002,5000.0,500.0,1.0,1.0,1.0,1.1662222222222223,1.6294577284199216,0.638522111939014,1.9002377494832103,0.4079519541805201,0.373706503403127,0.3739206155760229,5854,5248,5248,0.0
