policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
random,1.2,9,1009,5000.0,500.0,1.5,1.0,0.5,1.172,4.177173490155758,2.944241048280034,4.892455725935081,0.2527387332580357,0.42228665496619755,0.7708318215288447,5872,5285,5285,0.0
random,1.2,10,1010,5000.0,500.0,1.5,1.0,0.5,1.1882222222222223,4.410321283212813,3.1783957543305488,5.232897708236931,0.24847088893131145,0.4013842581451176,0.8144068527571561,5985,5356,5356,0.0
random,1.8,1,1001,5000.0,500.0,1.5,1.0,0.5,1.6448888888888888,211.4643112447353,210.23244314607496,308.1923697790559,0.3807587689819015,0.5708229512065706,1.0,8725,7858,7858,0.0
random,1.8,2,1002,5000.0,500.0,1.5,1.0,0.5,1.7004444444444444,117.26712038487156,116.078218990268,184.0274896059065,0.4100723953240583,0.5707858505963798,1.0,8830,7952,7952,0.0
random,1.8,3,1003,5000.0,500.0,1.5,1.0,0.5,1.694888888888889,239.08338976375367,237.85015143380957,353.5755922360065,0.3979775187290768,0.5939092817160013,1.0,9046,8143,8143,0.0
random,1.8,4,1004,5000.0,500.0,1.5,1.0,0.5,1.682,148.4170745668369,147.1937610472553,217.90175358587018,0.38335633890629583,0.5946849749049363,1.0,8817,7979,7979,0.0
random,1.8,5,1005,5000.0,500.0,1.5,1.0,0.5,1.7033333333333334,190.65215063738992,189.44779687972704,287.3591500451885,0.40529182336664343,0.566287831163963,1.0,9032,8088,8088,0.0
random,1.8,6,1006,5000.0,500.0,1.5,1.0,0.5,1.6804444444444444,236.16975027351555,234.94554144158604,348.7688759160208,0.3933872277568289,0.5834708947022904,1.0,9014,8105,8105,0.0
random,1.8,7,1007,5000.0,500.0,1.5,1.0,0.5,1.7342222222222223,153.00795147745944,151.79362231476438,234.26163109174618,0.4000518880856455,0.6236437554440872,1.0,9129,8196,8196,0.0
random,1.8,8,1008,5000.0,500.0,1.5,1.0,0.5,1.6944444444444444,203.88419520351565,202.63576575073907,289.90289885257545,0.4057990333944405,0.6272132038547407,1.0,9131,8220,8220,0.0
random,1.8,9,1009,5000.0,500.0,1.5,1.0,0.5,1.708,128.33677181678695,127.1189209583378,198.53542920006913,0.3898510639824399,0.6271702573322173,1.0,8888,8010,8010,0.0
random,1.8,10,1010,5000.0,500.0,1.5,1.0,0.5,1.6826666666666668,197.34578843913138,196.11796604031173,291.7059906276046,0.39090773254812666,0.5924078119720976,1.0,8934,8021,8021,0.0
random,2.4,1,1001,5000.0,500.0,1.5,1.0,0.5,2.0442222222222224,599.599994203808,598.3610692078348,855.1844336647072,0.5089756499162235,0.774056767050994,1.0,11766,10605,10605,0.0
random,2.4,2,1002,5000.0,500.0,1.5,1.0,0.5,2.0946666666666665,481.2471842636767,480.0430768651532,731.4011402245458,0.5442375073637112,0.7535926898694268,1.0,11852,10687,10687,0.0
random,2.4,3,1003,5000.0,500.0,1.5,1.0,0.5,2.102,605.2167804646662,603.9951732958425,904.0115118212865,0.5339502997221358,0.8077969554722411,1.0,12073,10863,10863,0.0
random,2.4,4,1004,5000.0,500.0,1.5,1.0,0.5,2.082888888888889,523.8881679390416,522.659237405753,768.0318431887622,0.5073579315254323,0.7962220976695811,1.0,11836,10708,10708,0.0
random,2.4,5,1005,5000.0,500.0,1.5,1.0,0.5,2.1093333333333333,528.6078498540462,527.4068196272393,820.6352012973417,0.5480155104092577,0.7736015508428944,1.0,11985,10739,10739,0.0
random,2.4,6,1006,5000.0,500.0,1.5,1.0,0.5,2.0986666666666665,600.0704822838045,598.8457176405259,914.1903658001144,0.5355814179812054,0.8017114783661832,1.0,12060,10860,10860,0.0
random,2.4,7,1007,5000.0,500.0,1.5,1.0,0.5,2.136888888888889,526.926669196466,525.7108121613268,792.5170427712033,0.5361376262774958,0.8191373156278574,1.0,12145,10930,10930,0.0
random,2.4,8,1008,5000.0,500.0,1.5,1.0,0.5,2.085111111111111,607.6246606263522,606.3643033920804,865.5286494799429,0.5439821565262006,0.8170952179684285,1.0,12137,10918,10918,0.0
random,2.4,9,1009,5000.0,500.0,1.5,1.0,0.5,2.0995555555555554,482.5774444209873,481.365966203372,740.0200242895854,0.5139384296239538,0.8168301351932187,1.0,11801,10667,10667,0.0
random,2.4,10,1010,5000.0,500.0,1.5,1.0,0.5,2.090888888888889,570.3272810898126,569.1033513353603,843.3099572051228,0.52284967496158,0.7975902836400994,1.0,11970,10776,10776,0.0
random,2.7,1,1001,5000.0,500.0,1.5,1.0,0.5,2.2431111111111113,797.2654461172498,796.0271515657159,1137.0889560942794,0.5788515774739729,0.8707111596152062,1.0,13271,11970,11970,0.0
random,2.7,2,1002,5000.0,500.0,1.5,1.0,0.5,2.3026666666666666,661.3201936501823,660.1165284355658,1015.2556577573098,0.6090096788487234,0.8626952878400749,1.0,13387,12065,12065,0.0
random,2.7,3,1003,5000.0,500.0,1.5,1.0,0.5,2.3026666666666666,784.7284800467768,783.5103944199032,1183.620336661885,0.6053008084753344,0.9061786911864376,1.0,13535,12190,12190,0.0
random,2.7,4,1004,5000.0,500.0,1.5,1.0,0.5,2.2728888888888887,708.9466191969657,707.715273698975,1047.9066107896379,0.5762480045069898,0.8847159446305615,1.0,13280,12010,12010,0.0
random,2.7,5,1005,5000.0,500.0,1.5,1.0,0.5,2.3097777777777777,705.4295802174018,704.2236462445019,1088.8085861282325,0.6162911503548772,0.8698123873045687,1.0,13487,12103,12103,0.0
random,2.7,6,1006,5000.0,500.0,1.5,1.0,0.5,2.304222222222222,785.2304783564433,784.0059431678029,1196.3498279492678,0.6102235374520921,0.8970844145022357,1.0,13579,12234,12234,0.0
random,2.7,7,1007,5000.0,500.0,1.5,1.0,0.5,2.33,720.9303081400844,719.7125391966906,1076.420202195887,0.5961271533553653,0.91609016567478,1.0,13640,12282,12282,0.0
random,2.7,8,1008,5000.0,500.0,1.5,1.0,0.5,2.286888888888889,802.677446766782,801.4247878940984,1152.9039826286416,0.6110527574760509,0.9098516388046651,1.0,13636,12271,12271,0.0
random,2.7,9,1009,5000.0,500.0,1.5,1.0,0.5,2.292222222222222,656.9604729267958,655.7467945320018,1012.8084491614264,0.5691854366063749,0.91446147225997,1.0,13244,11952,11952,0.0
random,2.7,10,1010,5000.0,500.0,1.5,1.0,0.5,2.296222222222222,762.8914226432661,761.6615234337634,1125.1162136365479,0.5881840255256003,0.9050399857352869,1.0,13483,12146,12146,0.0
proportional,0.6,1,1001,5000.0,500.0,1.5,1.0,0.5,0.5877777777777777,1.2223213032968343,0.21934891724290292,0.7184258704030899,0.19922686477139487,0.20124590353772823,0.18897593875513993,2904,2646,2646,0.0
proportional,0.6,2,1002,5000.0,500.0,1.5,1.0,0.5,0.5973333333333334,1.1997561503238017,0.21160828916183302,0.7166543404600842,0.1993214125751209,0.19821896191876803,0.1927132812401937,2976,2688,2688,0.0
proportional,0.6,3,1003,5000.0,500.0,1.5,1.0,0.5,0.5902222222222222,1.2164048520338797,0.2244548601945412,0.7176526634469151,0.20233448956524305,0.2000113292977211,0.18289059733066806,2948,2653,2653,0.0
proportional,0.6,4,1004,5000.0,500.0,1.5,1.0,0.5,0.5906666666666667,1.2246900252770319,0.25146391540841606,0.7239269827293663,0.20327228112824586,0.19047356832652956,0.18164978057335307,2922,2658,2658,0.0
proportional,0.6,5,1005,5000.0,500.0,1.5,1.0,0.5,0.6086666666666667,1.1510640882429053,0.1983454337690593,0.7006230952525063,0.20139871312398638,0.19280568452737196,0.18573652034344035,3069,2738,2738,0.0
proportional,0.6,6,1006,5000.0,500.0,1.5,1.0,0.5,0.6042222222222222,1.2627916118954703,0.2509916388214386,0.7637903518860351,0.20028035239965647,0.20221034522948575,0.20970070440874386,3023,2718,2718,0.0
proportional,0.6,7,1007,5000.0,500.0,1.5,1.0,0.5,0.6106666666666667,1.1993515913574253,0.22086288090423783,0.7324040384556011,0.20337856094007772,0.1956093247763177,0.19854255346701766,3044,2748,2748,0.0
proportional,0.6,8,1008,5000.0,500.0,1.5,1.0,0.5,0.5924444444444444,1.23003577125926,0.22783359685581975,0.7268954046477809,0.20371968027664775,0.1948579633900917,0.19435680536487954,3006,2673,2673,0.0
proportional,0.6,9,1009,5000.0,500.0,1.5,1.0,0.5,0.5771111111111111,1.2486178698745718,0.24978712505069708,0.7205912462365031,0.1868007244429148,0.2006896826701626,0.18894591384416773,2903,2597,2597,0.0
