policy,lambda,mu0,mu1,mu2,duration,replicas,X_mean,X_ci95,E_R_mean,E_R_ci95,E_TQ_mean,E_TQ_ci95,E_N_mean,E_N_ci95,U0_mean,U0_ci95,U1_mean,U1_ci95,U2_mean,U2_ci95,little_product,little_error_pct,E_R_teorico_mm1,E_R_teorico_e3m1,desvio_teoria_pct,ganho_vs_random_pct
random,0.6,1.0,1.0,1.0,5000.0,10,0.5946444444444443,0.007536594332258841,1.247612296123361,0.017643210696093693,0.2519743945966103,0.014130865643283402,0.7415368945386253,0.007295969436956556,0.1982345590913483,0.004768225696155296,0.19639736122555002,0.0058513736476398705,0.19720992419934902,0.007158134430496772,0.7418857207103337,0.047040973183866894,1.25,1.062732862419163,-0.1910163101311113,0.0
random,1.2,1.0,1.0,1.0,5000.0,10,1.1916888888888888,0.01545914334172263,1.6659882023783914,0.04186553756051001,0.6681207859510334,0.03540489105774769,1.9855921411523838,0.061950224412823746,0.3960385457949609,0.009631880401579829,0.39497756246574356,0.014333924054021648,0.3980289071095902,0.01097589590985919,1.9853396297943025,0.012717181582658886,1.6666666666666665,1.2885753183034434,-0.04070785729650695,0.0
random,1.8,1.0,1.0,1.0,5000.0,10,1.790422222222222,0.017859621292495347,2.5211521151880194,0.1101083924440011,1.523167890545456,0.10513595511653277,4.515478021641111,0.22880295969703288,0.593666364656346,0.010255936859822836,0.5950396812893284,0.016910348840206,0.5979791016572606,0.013950628315814334,4.513926772635189,0.03435403734637052,2.5,1.81339633766463,0.8460846075207761,0.0
random,2.4,1.0,1.0,1.0,5000.0,10,2.3951555555555553,0.01802244216159802,5.0259086845026015,0.4113570073216133,4.027232227728719,0.4061347309813856,12.056403163529117,1.0659477498284118,0.7942186386269035,0.015831019959227807,0.7957634491700925,0.015762440255195753,0.802990404067241,0.016902047733156553,12.037833107401319,0.15402650256398828,4.999999999999998,3.4594228484319474,0.5181736900520664,0.0
random,2.7,1.0,1.0,1.0,5000.0,10,2.6934666666666667,0.021346008987078995,9.588312669612609,1.2454285018818765,8.58940020655933,1.2412456542388373,25.854395382710788,3.532704399781681,0.8935558770304469,0.01768048624163601,0.8936641147553788,0.014366822095540771,0.9030879150323793,0.01782057677525551,25.825800565179243,0.1105994439563126,10.000000000000002,6.7847243882390265,-4.116873303873926,0.0
round_robin,0.6,1.0,1.0,1.0,5000.0,10,0.5946222222222224,0.007576854293136538,1.0561050423274911,0.012847715044370513,0.060467140800740136,0.006007892473119546,0.6275819766132539,0.007217676016264336,0.19912054010314173,0.0031871531310929836,0.19627112489950388,0.005432404463026328,0.19639167905879118,0.002828957326665862,0.627983527168867,0.0639837615764639,1.25,1.062732862419163,-0.6236581483501448,15.34990111839473
round_robin,1.2,1.0,1.0,1.0,5000.0,10,1.1916444444444445,0.01549307131246347,1.2768003888724517,0.022300033210045915,0.2789329724450936,0.01547461618900932,1.5214261176358639,0.03398401841378099,0.3982504226642066,0.007401956963499037,0.39563092556886037,0.008912276605698035,0.3951106181565608,0.007049866158811044,1.5214920900643634,0.004336222951266118,1.6666666666666665,1.2885753183034434,-0.9137944258077763,23.360778482724484
round_robin,1.8,1.0,1.0,1.0,5000.0,10,1.7904888888888888,0.018033189081061645,1.7911578939624202,0.04037618885613138,0.7931736693198579,0.03520022444427989,3.20747966102944,0.08971482921293922,0.5989466543098425,0.009258256401739079,0.5942225869399451,0.010060950864431062,0.5937363267892762,0.01064938683112187,3.2070483073853358,0.013448367244381162,2.5,1.81339633766463,-1.2263421536876749,28.954786854309212
round_robin,2.4,1.0,1.0,1.0,5000.0,10,2.3945333333333334,0.018038388913300365,3.4133313746445078,0.21136208414148805,2.4146549178706245,0.20596040102347235,8.178022723865615,0.550072002517955,0.8004277551479261,0.009772243102194753,0.7954949194543401,0.01338102061899332,0.7958376369101041,0.011021762219961737,8.173335754298762,0.0573117699120007,4.999999999999998,3.4594228484319474,-1.3323457642170424,32.08528867288176
round_robin,2.7,1.0,1.0,1.0,5000.0,10,2.692288888888889,0.019555034483126364,6.489370918228607,0.7598476042488078,5.490458455175331,0.7555832310736174,17.48444994103629,2.129216920395604,0.8967330441172688,0.01169246773485118,0.896848336815953,0.012517399923790152,0.8958510599785526,0.012214134692159977,17.471261219025568,0.07543115199619074,10.000000000000002,6.7847243882390265,-4.353212497804622,32.31999057774998
